expt	cohort	animal	cage	strain	treatment	dose	timepoint	display	color	lty	x
S	S-RML-PBS	SIZ4	SIZ	RML	saline	0	-14	saline	#7C7C7C	1	1
S	S-RML-ACTIVE1	SJZ1	SJZ	RML	active ASO 1	500	-14	active ASO 1	#0909FF	1	1
S	S-RML-ACTIVE1	SJZ2	SJZ	RML	active ASO 1	500	-14	active ASO 1	#0909FF	1	1
S	S-RML-ACTIVE1	SJZ3	SJZ	RML	active ASO 1	500	-14	active ASO 1	#0909FF	1	1
S	S-RML-ACTIVE1	SJZ4	SJZ	RML	active ASO 1	500	-14	active ASO 1	#0909FF	1	1
M	M-PBS	MA1	MA	RML	saline	0	-15	saline	#7C7C7C	1	1
M	M-PBS	MA2	MA	RML	saline	0	-15	saline	#7C7C7C	1	1
M	M-PBS	MA3	MA	RML	saline	0	-15	saline	#7C7C7C	1	1
M	M-PBS	MA4	MA	RML	saline	0	-15	saline	#7C7C7C	1	1
M	M-CONTROL4	MB1	MB	RML	control ASO 4	500	-15	control ASO 4	#855E42	1	4
M	M-CONTROL4	MB2	MB	RML	control ASO 4	500	-15	control ASO 4	#855E42	1	4
M	M-CONTROL4	MB3	MB	RML	control ASO 4	500	-15	control ASO 4	#855E42	1	4
M	M-CONTROL4	MB4	MB	RML	control ASO 4	500	-15	control ASO 4	#855E42	1	4
M	M-ACTIVE5	MC1	MC	RML	active ASO 5	500	-15	active ASO 5	#C21FB8	1	2
M	M-ACTIVE5	MC2	MC	RML	active ASO 5	500	-15	active ASO 5	#C21FB8	1	2
M	M-ACTIVE5	MC3	MC	RML	active ASO 5	500	-15	active ASO 5	#C21FB8	1	2
M	M-ACTIVE5	MC4	MC	RML	active ASO 5	500	-15	active ASO 5	#C21FB8	1	2
M	M-ACTIVE6	MD1	MD	RML	active ASO 6	500	-15	active ASO 6	#41B6C4	1	3
M	M-ACTIVE6	MD2	MD	RML	active ASO 6	500	-15	active ASO 6	#41B6C4	1	3
M	M-ACTIVE6	MD3	MD	RML	active ASO 6	500	-15	active ASO 6	#41B6C4	1	3
M	M-ACTIVE6	MD4	MD	RML	active ASO 6	500	-15	active ASO 6	#41B6C4	1	3
M	M-PBS	ME1	ME	RML	saline	0	-15	saline	#7C7C7C	1	1
M	M-PBS	ME2	ME	RML	saline	0	-15	saline	#7C7C7C	1	1
M	M-PBS	ME3	ME	RML	saline	0	-15	saline	#7C7C7C	1	1
M	M-PBS	ME4	ME	RML	saline	0	-15	saline	#7C7C7C	1	1
M	M-CONTROL4	MF1	MF	RML	control ASO 4	500	-15	control ASO 4	#855E42	1	4
M	M-CONTROL4	MF2	MF	RML	control ASO 4	500	-15	control ASO 4	#855E42	1	4
M	M-CONTROL4	MF3	MF	RML	control ASO 4	500	-15	control ASO 4	#855E42	1	4
M	M-CONTROL4	MF4	MF	RML	control ASO 4	500	-15	control ASO 4	#855E42	1	4
M	M-ACTIVE5	MG1	MG	RML	active ASO 5	500	-15	active ASO 5	#C21FB8	1	2
M	M-ACTIVE5	MG2	MG	RML	active ASO 5	500	-15	active ASO 5	#C21FB8	1	2
M	M-ACTIVE5	MG3	MG	RML	active ASO 5	500	-15	active ASO 5	#C21FB8	1	2
M	M-ACTIVE5	MG4	MG	RML	active ASO 5	500	-15	active ASO 5	#C21FB8	1	2
M	M-ACTIVE6	MH1	MH	RML	active ASO 6	500	-15	active ASO 6	#41B6C4	1	3
M	M-ACTIVE6	MH2	MH	RML	active ASO 6	500	-15	active ASO 6	#41B6C4	1	3
M	M-ACTIVE6	MH3	MH	RML	active ASO 6	500	-15	active ASO 6	#41B6C4	1	3
M	M-ACTIVE6	MH4	MH	RML	active ASO 6	500	-15	active ASO 6	#41B6C4	1	3
