cage	dpi	edry	nslt	comb
TY	142	2	2	2
TZ	142	0	0	0
TAA	142	2	2	2
TAB	142	0	0	0
TAC	142	2	2	2
TAD	142	0	0	0
TAE	142	2	2	2
TAG	142	2	2	2
TAH	142	0	0	0
TAI	142	2	2	2
TI	149	2	2	2
TK	149	2	2	2
TL	149	0	0	0
TM	149	2	2	2
TO	149	2	2	2
TP	149	0	0	0
TQ	149	1.5	1.5	1.5
TR	149	0	0	0
TS	149	2	2	2
TU	149	2	2	2
TV	149	0.5	0	0.25
TW	149	0.5	0.5	0.5
TX	149	0.5	0	0.25
TY	149	2	2	2
TZ	149	0	0.5	0.25
TAA	149	2	2	2
TAB	149	0	0	0
TAC	149	2	2	2
TAD	149	0	0	0
TAE	149	2	2	2
TAG	149	2	2	2
TAH	149	0	0	0
TAI	149	2	2	2
TI	156	2	2	2
TK	156	2	2	2
TM	156	2	2	2
TO	156	2	2	2
TQ	156	0	0	0
TR	156	0	0	0
TS	156	2	2	2
TU	156	2	2	2
TV	156	0	0	0
TW	156	0	0.5	0.25
TX	156	0	0	0
TY	156	2	2	2
TZ	156	0	0	0
TAA	156	2	2	2
TAB	156	0	0	0
TAC	156	1.5	2	1.75
TAE	156	2	2	2
TAG	156	2	2	2
TAH	156	0	0	0
TAI	156	2	2	2
TI	163	2	2	2
TK	163	2	2	2
TM	163	2	2	2
TO	163	2	2	2
TQ	163	0.5	1	0.75
TS	163	2	2	2
TU	163	2	2	2
TV	163	0	0	0
TW	163	0.5	0.5	0.5
TY	163	2	2	2
TAA	163	2	2	2
TAC	163	2	2	2
TAE	163	2	2	2
TAG	163	2	2	2
TAI	163	2	2	2
TI	170	2	2	2
TK	170	2	2	2
TM	170	2	2	2
TO	170	2	2	2
TQ	170	0	1	0.5
TS	170	0.5	1.5	1
TU	170	2	2	2
TW	170	0	0.5	0.25
TY	170	2	2	2
TAA	170	2	2	2
TAC	170	1.5	2	1.75
TAE	170	1	1.5	1.25
TAG	170	2	2	2
TAI	170	2	2	2
TI	177	2	2	2
TK	177	2	2	2
TM	177	2	2	2
TO	177	2	2	2
TQ	177	0	1	0.5
TS	177	1.5	1.5	1.5
TW	177	0	0.5	0.25
TY	177	2	2	2
TAA	177	2	2	2
TAC	177	2	2	2
TAE	177	1.5	2	1.75
TAG	177	2	2	2
TAI	177	2	2	2
TI	184	2	2	2
TK	184	2	2	2
TM	184	1	1.5	1.25
TO	184	2	2	2
TQ	184	0	0	0
TS	184	1.5	1.5	1.5
TY	184	1.5	2	1.75
TAA	184	1.5	1.5	1.5
