animal	dpi	event
TAA3	440	icv5
TAA4	78	icv1
TAA4	168	icv2
TAA4	258	icv3
TAA4	344	icv4
TAA4	440	icv5
TAB1	54	icv1
TAB1	145	icv2
TAB2	54	icv1
TAB2	145	icv2
TAB3	54	icv1
TAB3	145	icv2
TAB4	54	icv1
TAB4	145	icv2
TAC1	54	icv1
TAC1	145	icv2
TAC1	233	icv3
TAC1	323	icv4
TAC2	54	icv1
TAC2	145	icv2
TAC2	233	icv3
TAC2	323	icv4
TAC3	54	icv1
TAC3	145	icv2
TAC3	233	icv3
TAC3	323	icv4
TAC4	54	icv1
TAC4	145	icv2
TAC4	233	icv3
TAC4	323	icv4
TAC4	414	icv5
TAD1	54	icv1
TAD1	145	icv2
TAD2	54	icv1
TAD2	145	icv2
TAD3	54	icv1
TAD4	54	icv1
TAD4	145	icv2
TAE1	54	icv1
TAE1	145	icv2
TAE1	233	icv3
TAE1	323	icv4
TAE2	54	icv1
TAE2	145	icv2
TAE2	233	icv3
TAE2	323	icv4
TAE2	414	icv5
TAE3	54	icv1
TAE3	145	icv2
TAE4	54	icv1
TAE4	145	icv2
TAE4	233	icv3
TAE4	323	icv4
TAE4	414	icv5
TAF2	28	icv1
TAF2	118	icv2
TAF4	28	icv1
TAF4	118	icv2
TAG2	28	icv1
TAG2	118	icv2
TAG2	208	icv3
TAG2	301	icv4
TAG2	386	icv5
TAG3	28	icv1
TAG3	118	icv2
TAG3	208	icv3
TAG3	301	icv4
TAG3	386	icv5
TAG4	28	icv1
TAG4	118	icv2
TAG4	208	icv3
TAG4	301	icv4
TAG4	386	icv5
TAH1	28	icv1
TAH1	118	icv2
TAH2	28	icv1
TAH2	118	icv2
TAH3	28	icv1
TAH3	118	icv2
TAH4	28	icv1
TAH4	118	icv2
TAI1	28	icv1
TAI1	118	icv2
TAI1	208	icv3
TAI1	301	icv4
TAI1	386	icv5
TAI2	28	icv1
TAI2	118	icv2
TAI2	208	icv3
TAI2	301	icv4
TAI2	386	icv5
TAI2	482	icv6
TAI3	28	icv1
TAI3	118	icv2
TAI3	208	icv3
TAI3	301	icv4
TAI3	386	icv5
TAI3	482	icv6
TAI4	28	icv1
TAI4	118	icv2
VA1	120	icv1
VA2	120	icv1
VA3	120	icv1
VA4	120	icv1
VB1	120	icv1
VB2	120	icv1
VB3	120	icv1
VB4	120	icv1
VC1	120	icv1
VC2	120	icv1
VC3	120	icv1
VC4	120	icv1
VD1	120	icv1
VD2	120	icv1
VD3	120	icv1
VD4	120	icv1
VE1	120	icv1
VE2	120	icv1
VE3	120	icv1
VE4	120	icv1
VF1	120	icv1
VF2	120	icv1
VF3	120	icv1
VF4	120	icv1
VG1	132	icv1
VG2	132	icv1
VG3	132	icv1
VG4	132	icv1
VH1	132	icv1
VH2	132	icv1
VH3	132	icv1
VH4	132	icv1
VI1	132	icv1
VI2	132	icv1
VI4	132	icv1
VJ1	132	icv1
VJ2	132	icv1
VJ3	132	icv1
VJ4	132	icv1
VK1	132	icv1
VK2	132	icv1
VK3	132	icv1
VK4	132	icv1
VL1	132	icv1
VL2	132	icv1
VL3	132	icv1
VL4	132	icv1
VM1	143	icv1
VM2	143	icv1
VM3	143	icv1
VM4	143	icv1
VN1	143	icv1
VN2	143	icv1
VN3	143	icv1
VN4	143	icv1
VO1	143	icv1
VO2	143	icv1
VO3	143	icv1
VO4	143	icv1
VP1	143	icv1
VP2	143	icv1
VP3	143	icv1
VP4	143	icv1
VQ1	143	icv1
VQ2	143	icv1
VQ3	143	icv1
VQ4	143	icv1
VR1	143	icv1
VR3	143	icv1
VR4	143	icv1
VS2	156	icv1
VS3	156	icv1
VT1	156	icv1
VT2	156	icv1
VU1	156	icv1
VU2	156	icv1
VU3	156	icv1
VU4	156	icv1
VV1	156	icv1
VV2	156	icv1
VV3	156	icv1
VV4	156	icv1
VW1	156	icv1
VW2	156	icv1
VW3	156	icv1
VW4	156	icv1
VX4	156	icv1
ZA1	127	icv1
ZA2	127	icv1
ZA3	127	icv1
ZA4	127	icv1
ZB1	127	icv1
ZB2	127	icv1
ZB3	127	icv1
ZB4	127	icv1
ZC1	127	icv1
ZC3	127	icv1
ZC4	127	icv1
ZD1	127	icv1
ZD2	127	icv1
ZD3	127	icv1
ZD4	127	icv1
ZE1	122	icv1
ZE2	122	icv1
ZE3	122	icv1
ZE4	122	icv1
ZF1	122	icv1
ZF2	122	icv1
ZF3	122	icv1
ZF4	122	icv1
ZG1	122	icv1
ZG2	122	icv1
ZG3	122	icv1
ZG4	122	icv1
ZH1	122	icv1
ZH2	122	icv1
ZH3	122	icv1
ZI1	123	icv1
ZI2	123	icv1
ZI3	123	icv1
ZI4	123	icv1
ZJ1	123	icv1
ZJ2	123	icv1
ZJ3	123	icv1
ZJ4	123	icv1
ZK1	123	icv1
ZK2	123	icv1
ZK3	123	icv1
ZK4	123	icv1
ZL1	123	icv1
ZL2	123	icv1
ZL3	123	icv1
ZL4	123	icv1
ZM1	129	icv1
ZM2	129	icv1
ZM3	129	icv1
ZM4	129	icv1
ZN1	129	icv1
ZN2	129	icv1
ZN3	129	icv1
ZN4	129	icv1
ZO1	129	icv1
ZO2	129	icv1
ZO3	129	icv1
ZO4	129	icv1
ZP1	129	icv1
ZP2	129	icv1
ZP3	129	icv1
ZP4	129	icv1
ZQ1	128	icv1
ZQ2	128	icv1
ZQ3	128	icv1
ZQ4	128	icv1
ZR1	128	icv1
ZR2	128	icv1
ZR3	128	icv1
ZR4	128	icv1
ZS1	128	icv1
ZS2	128	icv1
ZS3	128	icv1
ZS4	128	icv1
ZT1	128	icv1
ZT2	128	icv1
ZT3	128	icv1
ZT4	128	icv1
A1	-13	icv1
A1	75	icv2
A2	-13	icv1
A2	75	icv2
A3	-13	icv1
A3	75	icv2
A4	-13	icv1
A4	75	icv2
B1	-13	icv1
B1	75	icv2
B2	-13	icv1
B2	75	icv2
B3	-13	icv1
B3	75	icv2
B4	-13	icv1
B4	75	icv2
C1	-13	icv1
C1	75	icv2
C2	-13	icv1
C2	75	icv2
C3	-13	icv1
C3	75	icv2
C4	-13	icv1
C4	75	icv2
D1	-13	icv1
D1	76	icv2
D2	-13	icv1
D2	76	icv2
D3	-13	icv1
D3	76	icv2
D4	-13	icv1
D4	76	icv2
E1	-13	icv1
E1	75	icv2
E2	-13	icv1
E2	75	icv2
E3	-13	icv1
E3	75	icv2
E4	-13	icv1
E4	75	icv2
F1	-13	icv1
F1	75	icv2
F2	-13	icv1
F2	75	icv2
F3	-13	icv1
F4	-13	icv1
F4	75	icv2
G1	-13	icv1
G1	75	icv2
G2	-13	icv1
G2	75	icv2
G3	-13	icv1
G3	75	icv2
G4	-13	icv1
G4	75	icv2
H1	-13	icv1
H1	76	icv2
H2	-13	icv1
H2	76	icv2
H3	-13	icv1
H3	76	icv2
H4	-13	icv1
H4	76	icv2
I1	-13	icv1
I1	75	icv2
I2	-13	icv1
I2	75	icv2
I3	-13	icv1
I3	75	icv2
I4	-13	icv1
I4	75	icv2
J1	-13	icv1
J1	75	icv2
J2	-13	icv1
J2	75	icv2
J3	-13	icv1
J3	75	icv2
J4	-13	icv1
J4	75	icv2
K1	-13	icv1
K1	75	icv2
K2	-13	icv1
K2	75	icv2
